User Name,Annotation,comment_Text,Multi,Score,Reply Content,Unnamed: 6
James Ayube,Non_Functional,"I used to love this app, but the ads have become very obtrusive the last few months, so I'll be switching to another pedometer app. It's a shame they had to ruin the experience I undestand the need for apps on a free app, however I don't understand the need to have ads explode over the app when you open or when you try to exit. A more subtle ad makes it a lot more likely for me, at least, to look at at an ad, versus now it gives me a negative view of the product",Usability,1,"Hi James, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
CJ E. Andrews,Non_Functional,"I don't like that this app has a pop-up that I can't close that FORCES me to leave a rating while showing a picture with an arrow pointing at the 5 star review basically demanding I leave a good review in order to continue to use the app. There is NO way to close the pop-up unless you select a rating. This is WRONG. Because of this, I am leaving a review....a NEGATIVE ONE since the app is FORCING me to leave a review to even use the app.",Usability,1,"Hi CJ, I'm sorry that our rating request disturbs you. We will try to adjust our strategy of rating invitation. If you have any questions or suggestions, please feel free to contact us.",
Bret Moock,Non_Functional,"It works, yes. So one might be rough. The ads make it horrible. I could even close the ad without getting out of the app. I understand that is how they get paid but, makes a way to close it! I used to really like this app!",Usability,1,"Hi Bret, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.",
Craig Slavik,Non_Functional,It doesn't accurately mesaure my steps and distance. For my morning 3 mile walk it only registered 1.0 miles and 2560 steps. I hold my phone in my hand swinging my arms.,Accuracy,1,"Hi Craig, sorry for the inconvenience. Please click the ""Fix..."" option on the ""Profile"" page to remove possible restrictions. This app uses the built-in sensor in the phone to count steps, but the sensor of different devices differs. We will continue to work hard to improve the algorithm.",
Donna O'Connor,Non_Functional,This app is not reliable. It says I've walked 2 miles when it should only be Â¾mile. It tells me my average pace is 10 minute mile when I'm walking. This is not a consistent app. It has been like this on and off. Not reliable at all. Find yourself another app. Do not download this one. I would NOT recommend this app to anyone,Reliability,1,"Hi Donna, sorry for the inconvenience.
Data points may be lost due to weak GPS signal or system permission restrictions.
It is recommended that you keep our app in the foreground and try again in an area with a strong GPS signal.
We will continue to improve our product to provide you with a better experience.",
JG,Non_Functional,I want to like this app but the counting isn't accurate. I have emailed the developer more than once without a response regarding more detail of the sensitivity level which could be the issue.,Accuracy,1,"Hi, sorry for this. We uses the built-in sensor in the phone to count steps, but the sensor of different devices differs. Therefore, the sensitivity effects are different for different models. You can also check whether the permissions are granted through the ""Fix step counting problem"" option. We will continue to improve the algorithm.",
j adams,Non_Functional,This app was fine when I installed it but is now so loaded with ads that can't be shut down it is worthless.,Usability,1,"Hi, sorry for the inconvenience.
We will try to adjust our ads strategy to minimize the interrupts to you. You can also remove ads by the ""Remove ads"" subscription on the ""Profile"" page.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
JoAnn Herren,Non_Functional,I am trying to get to my Safeway app and cannot do it for some reason abd I'm furious! I know it's in my phone because I use it every week. I'm not changing my review until you get me into my Safeway app!,Usability,1,"Hello JoAnn, we will not prevent you from using other apps. Could you please provide more details?",
Michael Wood,Non_Functional,"Only 1 day and required to rate. About to Uninstall, way too many unescapable ads. 2 minutes of waiting for ads and videos to play just to get into the app. Ridiculous. Uninstalled. I like the app once I can get in. Seems to track and map well. I can't get past the ads to decide to buy. Was 5 stars now 1 star. Too bad.",Usability,1,"Hi Michael, I'm sorry that our rating request disturbs you. We will try to adjust our strategy of rating invitation.
This app is completely free for all users, so we need to display ads to earn some meager profits.
Thank you for understanding.",
Shiva karthi,Non_Functional,Too many ads. Uninstalled.,Usability,1,,
Tom Daahiell,Non_Functional,"It stays on my home screen all the time. It's hard to start tracking steps. Is there a way to keep it off my home screen? Every time I open my phone the steps show up. I'm tired of looking at it. I can't get support from the developer..it's been over 3 days. I guess I'll delete it, get a app that has support. Nobody has responded in a week!",Reliability,1,,
L. Danielle,Non_Functional,I have tried several times to like this app but unfortunately the steps are never counted properly. I go on a 2.5 mile walk and it says I've only done 65 steps. Very unreliable and inaccurate. Will be moving on to another step tracker. I have sent many feedback emails. Doesn't seem to help at all.,Accuracy,1,"Hi, sorry for the inconvenience. It may be due to the system limitation.
To solve this issue, please click the ""Fix..."" option on the ""Profile"" page.
If this doesn't work, please send us a feedback email with description of your issue by ""Profile--Feedback"". Thanks for your time.",
James Mann,Non_Functional,"The app was good in the beginning, but its GPS now fails. The mapping isn't close to being accurate now. Today's walk was 3,143 steps but only 0.08 miles over 35 minutes. I'm 6 feet tall, longer steps. Should have been closer 1.5 miles or more. Trees and clouds have not been problem.",Accuracy,1,,
ABaumstumpf,Non_Functional,"Only tracks steps, but with annoying notifications with sound that can not be turned off and adds, but the worst of all by far: Even when fully closed it drains the battery like crazy! Yes, it takes as much power when closed as a normal GPS-tracker when it is recording.",Usability,1,,
Simon Rixon,Non_Functional,"Absolute rubbish for everyday use....full of adverts on every action, and the GPS function is useless if you want to track where you've actually been on your walk/run/hike in the country......this app is clearly built for the 10,000 steps a day desk-bound wannabes measuring their walk to and from the tube, so I'll gladly let them have it.",Usability,1,,
Warren Whalen,Non_Functional,Aggressive app. I opened it and it took control of my screen. It wouldn't start it keep stopping then wouldn't resume it flooded my screen with ads and the app would not stop I couldn't even restart or shut off my phone. It took a dozen trys and then I got lucky enough to be able to hit the restart on my phone and that was between the app screen and the ads. Goodluck if you want to try this app. I gave it a 1 rating because there's no 0.,Reliability,1,,
Alan Kelly,Non_Functional,This app is awful. It was good for first few days then it randomly stopped counting my steps. It also adds on miles of walking that you have not done and when you look at your GPS it shows places that you have never been but it has registered that you have walked there. It's not accurate at all,Reliability,1,"Thank you for using our products, and give us feedback. Step counting pause is a problem we often encounter, because of the android system, the app is often killed in the background. Can I get in touch with you to let us locate this problemï¼Ÿ

please send us a feedback email by clicking on Feedback option on â€œProfileâ€",
Jesse J-Dog Boartfield,Non_Functional,"Worked good for two days then stops counting. App says it needs permissions that are already set. Fault app malfunctions. Inaccurate. Not worth the download. After second try on new phone, same issues. It just doesn't consistently count steps. Sorry.",Reliability,1,,
